year,state_abbr,state_name,population
1990,OR,     Oregon,2842321
1990,PA,     Pennsylvania,11881643
1990,RI,     Rhode Island,1003464
1990,SC,     South Carolina,3486703
1990,SD,     South Dakota,696004
1990,TN,     Tennessee,4877185
1990,TX,     Texas,16986510
1990,UT,     Utah,1722850
1990,VA,     Virginia,6187358
1990,VT,     Vermont,562758
1990,WA,     Washington,4866692
1990,WI,     Wisconsin,4891769
1990,WV,     West Virginia,1793477
1990,WY,     Wyoming,453588
1991,AK,     Alaska,570000
1991,AL,     Alabama,4089000
1991,AR,     Arkansas,2372000
1991,AZ,     Arizona,3750000
1991,CA,     California,30380000
1991,CO,     Colorado,3377000
1991,CT,     Connecticut,3291000
1991,DC,     District of Columbia,598000
1991,DE,     Delaware,680000
1991,FL,     Florida,13277000
1991,GA,     Georgia,6623000
1991,HI,     Hawaii,1135000
1991,IA,     Iowa,2795000
1991,ID,     Idaho,1039000
1991,IL,     Illinois,11543000
1991,IN,     Indiana,5610000
1991,KS,     Kansas,2495000
1991,KY,     Kentucky,3713000
1991,LA,     Louisiana,4252000
1991,MA,     Massachusetts,5996000
1991,MD,     Maryland,4860000
1991,ME,     Maine,1235000
1991,MI,     Michigan,9368000
1991,MN,     Minnesota,4432000
1991,MO,     Missouri,5158000
1991,MS,     Mississippi,2592000
1991,MT,     Montana,808000
1991,NC,     North Carolina,6737000
1991,ND,     North Dakota,635000
1991,NE,     Nebraska,1593000
1991,NH,     New Hampshire,1105000
1991,NJ,     New Jersey,7760000
1991,NM,     New Mexico,1548000
1991,NV,     Nevada,1284000
1991,NY,     New York,18058000
1991,OH,     Ohio,10939000
1991,OK,     Oklahoma,3175000
1991,OR,     Oregon,2922000
1991,PA,     Pennsylvania,11961000
1991,RI,     Rhode Island,1004000
1991,SC,     South Carolina,3560000
1991,SD,     South Dakota,703000
1991,TN,     Tennessee,4953000
1991,TX,     Texas,17349000
1991,UT,     Utah,1770000
1991,VA,     Virginia,6286000
1991,VT,     Vermont,567000
1991,WA,     Washington,5018000
1991,WI,     Wisconsin,4955000
1991,WV,     West Virginia,1801000
1991,WY,     Wyoming,460000
1992,AK,     Alaska,587000
1992,AL,     Alabama,4136000
1992,AR,     Arkansas,2399000
1992,AZ,     Arizona,3832000
1992,CA,     California,30867000
1992,CO,     Colorado,3470000
1992,CT,     Connecticut,3281000
1992,DC,     District of Columbia,589000
1992,DE,     Delaware,689000
1992,FL,     Florida,13488000
1992,GA,     Georgia,6751000
1992,HI,     Hawaii,1160000
1992,IA,     Iowa,2812000
1992,ID,     Idaho,1067000
1992,IL,     Illinois,11631000
1992,IN,     Indiana,5662000
1992,KS,     Kansas,2523000
1992,KY,     Kentucky,3755000
1992,LA,     Louisiana,4287000
1992,MA,     Massachusetts,5998000
1992,MD,     Maryland,4908000
1992,ME,     Maine,1235000
1992,MI,     Michigan,9437000
1992,MN,     Minnesota,4480000
1992,MO,     Missouri,5193000
1992,MS,     Mississippi,2614000
1992,MT,     Montana,824000
1992,NC,     North Carolina,6843000
