ori,agency_name,state,population
TX02101,BRYAN,TX,93434
TX16611,BUCKHOLTS,TX,398
TX10512,BUDA,TX,16300
TX14501,BUFFALO,TX,1924
TX21215,BULLARD,TX,5071
TX04608,BULVERDE,TX,7614
TX24301,BURKBURNETT,TX,11134
TX02600,BURLESON,TX,14207
TX12602,BURLESON,TX,47697
TX02700,BURNET,TX,29624
TX02701,BURNET,TX,6972
TX17104,CACTUS,TX,3177
TX11607,CADDO MILLS,TX,7230
TX02601,CALDWELL,TX,5040
TX02800,CALDWELL,TX,28551
TX02900,CALHOUN,TX,6962
TX03000,CALLAHAN,TX,10666
TX19802,CALVERT,TX,999
TX03100,CAMERON,TX,95770
TX16601,CAMERON,TX,5583
TX03200,CAMP,TX,8685
TX10709,CANEY CITY,TX,210
TX23401,CANTON,TX,4997
TX19101,CANYON,TX,16865
TX06405,CARRIZO SPRINGS,TX,4518
TX05704,CARROLLTON,TX,83979
TX03300,CARSON,TX,3503
TX18301,CARTHAGE,TX,6677
TX03400,CASS,TX,18383
TX01503,CASTLE HILLS,TX,3920
TX03500,CASTRO,TX,3243
TX16301,CASTROVILLE,TX,3260
TX05705,CEDAR HILL,TX,49053
TX24609,CEDAR PARK,TX,71892
TX11601,CELESTE,TX,935
TX04302,CELINA,TX,47955
TX21001,CENTER,TX,5211
TX03600,CHAMBERS,TX,42491
TX10706,CHANDLER,TX,3965
TX00716,CHARLOTTE,TX,1643
TX03700,CHEROKEE,TX,31672
TX03800,CHILDRESS,TX,985
TX03801,CHILDRESS,TX,5672
TX09901,CHILLICOTHE,TX,526
TX01504,CHINA GROVE,TX,1138
TX09406,CIBOLO,TX,39183
TX06701,CISCO,TX,4062
TX19401,CLARKSVILLE,TX,2876
TX03900,CLAY,TX,10806
TX08401,CLEAR LAKE SHORES,TX,1298
TX12603,CLEBURNE,TX,40015
TX14601,CLEVELAND,TX,10346
TX01801,CLIFTON,TX,3552
TX07112,CLINT,TX,1107
TX02003,CLUTE,TX,10961
TX03003,CLYDE,TX,4111
TX04000,COCHRAN,TX,2577
TX05706,COCKRELL HILL,TX,3629
TX10719,COFFEE CITY,TX,245
TX04100,COKE,TX,3401
TX04200,COLEMAN,TX,2899
TX04201,COLEMAN,TX,4074
TX02102,COLLEGE STATION,TX,129902
TX22040,COLLEYVILLE,TX,26001
TX04300,COLLIN,TX,95732
TX04400,COLLINGSWORTH,TX,2592
TX09101,COLLINSVILLE,TX,2089
TX04500,COLORADO,TX,11823
TX16801,COLORADO CITY,TX,3895
TX04501,COLUMBUS,TX,3976
TX04600,COMAL,TX,99619
TX04700,COMANCHE,TX,7632
TX04701,COMANCHE,TX,4449
TX03102,COMBES,TX,3287
TX11602,COMMERCE,TX,9985
TX04800,CONCHO,TX,3315
TX17001,CONROE,TX,121302
TX01505,CONVERSE,TX,32352
TX04900,COOKE,TX,24953
TX14701,COOLIDGE,TX,804
TX05707,COPPELL,TX,40484
TX06155,COPPER CANYON,TX,2578
TX05001,COPPERAS COVE,TX,39300
TX06123,CORINTH,TX,24895
TX17802,CORPUS CHRISTI,TX,317071
TX18704,CORRIGAN,TX,1384
TX17501,CORSICANA,TX,25705
TX05000,CORYELL,TX,31082
TX05100,COTTLE,TX,286
TX02712,COTTONWOOD SHORES,TX,1734
TX12909,CRANDALL,TX,6611
TX05200,CRANE,TX,1204
TX05201,CRANE,TX,3351
TX05300,CROCKETT,TX,2719
TX11301,CROCKETT,TX,6390
TX05400,CROSBY,TX,2587
TX05401,CROSBYTON,TX,1462
TX06150,CROSS ROADS,TX,2035
TX07801,CROWELL,TX,726
TX22006,CROWLEY,TX,20922
TX25401,CRYSTAL CITY,TX,5927
TX06201,CUERO,TX,8232
TX05500,CULBERSON,TX,2262
TX11201,CUMBY,TX,724
TX03712,CUNEY,TX,118
TX17201,DAINGERFIELD,TX,2540
TX05601,DALHART,TX,5854
TX05600,DALLAM,TX,1740
TXDPD00,DALLAS,TX,1246336
TX22007,DALWORTHINGTON GARDENS,TX,2302
TX02004,DANBURY,TX,1707
TX05800,DAWSON,TX,3472
TX17502,DAWSON,TX,820
TX14603,DAYTON,TX,10106
TX01901,DE KALB,TX,1404
TX04702,DE LEON,TX,2406
TX05900,DEAF SMITH,TX,3565
TX24902,DECATUR,TX,8727
TX10104,DEER PARK,TX,34532
TX23301,DEL RIO,TX,34668
TX06000,DELTA,TX,5734
TX09102,DENISON,TX,26950
TX06100,DENTON,TX,159476
TX06102,DENTON,TX,172882
TX25101,DENVER CITY,TX,4345
TX05708,DESOTO,TX,56851
TX16302,DEVINE,TX,4697
TX06200,DEWITT,TX,10011
TX00301,DIBOLL,TX,5167
TX06300,DICKENS,TX,871
TX08402,DICKINSON,TX,22061
TX08203,DILLEY,TX,4032
TX06400,DIMMIT,TX,3532
TX03501,DIMMITT,TX,4118
TX06500,DONLEY,TX,3159
TX10802,DONNA,TX,16893
TX06125,DOUBLE OAK,TX,3076
TX07201,DUBLIN,TX,3471
TX17101,DUMAS,TX,14938
TX05709,DUNCANVILLE,TX,38858
TX06600,DUVAL,TX,3210
TX04502,EAGLE LAKE,TX,3571
TX16201,EAGLE PASS,TX,28924
TX02503,EARLY,TX,3192
TX23009,EAST MOUNTAIN,TX,979
TX19005,EAST TAWAKONI,TX,983
TX06700,EASTLAND,TX,8122
TX06702,EASTLAND,TX,3802
TX06800,ECTOR,TX,53829
TX07408,ECTOR,TX,803
TX10803,EDCOUCH,TX,2673
TX23402,EDGEWOOD,TX,1789
TX10804,EDINBURG,TX,110822
TX12001,EDNA,TX,6048
TX06900,EDWARDS,TX,1368
TX24101,EL CAMPO,TX,12136
TX07100,EL PASO,TX,111217
TX07102,EL PASO,TX,682310
TX24302,ELECTRA,TX,2238
TX01102,ELGIN,TX,11356
TX07000,ELLIS,TX,72291
TX01506,ELMENDORF,TX,2928
TX10805,ELSA,TX,5769
TX19006,EMORY,TX,1426
TX14206,ENCINAL,TX,540
TX07001,ENNIS,TX,26042
TX07200,ERATH,TX,18879
TX09602,ESTELLINE,TX,124
TX22009,EULESS,TX,59746
TX10711,EUSTACE,TX,1157
TX22010,EVERMAN,TX,6403
TX01539,FAIR OAKS RANCH,TX,7728
TX08101,FAIRFIELD,TX,3043
TX04325,FAIRVIEW,TX,11050
TX02401,FALFURRIAS,TX,4283
TX07300,FALLS,TX,10240
TX07400,FANNIN,TX,21256
TX05710,FARMERS BRANCH,TX,37609
TX04303,FARMERSVILLE,TX,4556
TX18503,FARWELL,TX,1368
TX19908,FATE,TX,30358
TX07500,FAYETTE,TX,16801
TX07002,FERRIS,TX,4654
TX07600,FISHER,TX,3647
TX07508,FLATONIA,TX,1416
TX24601,FLORENCE,TX,1218
TX24701,FLORESVILLE,TX,9153
TX06112,FLOWER MOUND,TX,80200
TX07700,FLOYD,TX,2476
TX07701,FLOYDADA,TX,2465
TX07800,FOARD,TX,314
TX22011,FOREST HILL,TX,14410
TX12901,FORNEY,TX,43493
TX07900,FORT BEND,TX,637444
TX18601,FORT STOCKTON,TX,8069
TX22012,FORT WORTH,TX,1009136
TX08000,FRANKLIN,TX,7560
TX19810,FRANKLIN,TX,1841
TX00103,FRANKSTON,TX,1112
TX08601,FREDERICKSBURG,TX,11957
TX02005,FREEPORT,TX,10623
TX06603,FREER,TX,2327
TX08100,FREESTONE,TX,13133
TX08403,FRIENDSWOOD,TX,30732
TX08200,FRIO,TX,5957
TX18502,FRIONA,TX,4049
TX04304,FRISCO,TX,145026
TX07914,FULSHEAR,TX,26373
TX00410,FULTON,TX,1634
TX08300,GAINES,TX,13347
TX04901,GAINESVILLE,TX,18524
TX10106,GALENA PARK,TX,10377
TX08400,GALVESTON,TX,37228
TX08404,GALVESTON,TX,53510
TX12002,GANADO,TX,2041
TX04607,GARDEN RIDGE,TX,4423
TX05711,GARLAND,TX,251165
TX07003,GARRETT,TX,887
TX17401,GARRISON,TX,837
TX08500,GARZA,TX,4424
TX05002,GATESVILLE,TX,16456
TX14907,GEORGE WEST,TX,2242
TX24602,GEORGETOWN,TX,111743
TX14401,GIDDINGS,TX,5411
TX08600,GILLESPIE,TX,16443
TX23002,GILMER,TX,5300
TX09202,GLADEWATER,TX,3799
TX08700,GLASSCOCK,TX,1157
TX05747,GLENN HEIGHTS,TX,14552
TX12613,GODLEY,TX,5741
TX08800,GOLIAD,TX,7241
TX08900,GONZALES,TX,8942
TX08901,GONZALES,TX,7256
TX25201,GRAHAM,TX,8895
TX11101,GRANBURY,TX,13455
TX05712,GRAND PRAIRIE,TX,133275
TX23403,GRAND SALINE,TX,3338
TX24603,GRANGER,TX,1215
TX02707,GRANITE SHOALS,TX,5486
TX11305,GRAPELAND,TX,1498
TX22013,GRAPEVINE,TX,51460
TX09000,GRAY,TX,4326
TX09100,GRAYSON,TX,44597
TX11603,GREENVILLE,TX,36066
TX09200,GREGG,TX,23743
TX20508,GREGORY,TX,1712
TX09300,GRIMES,TX,24290
TX14702,GROESBECK,TX,3975
TX12303,GROVES,TX,16760
TX09400,GUADALUPE,TX,49080
TX10707,GUN BARREL CITY,TX,7214
TX09120,GUNTER,TX,2617
TX09500,HALE,TX,7342
TX09502,HALE CENTER,TX,1986
TX09600,HALL,TX,655
TX14301,HALLETTSVILLE,TX,2747
TX10201,HALLSVILLE,TX,5058
TX22014,HALTOM CITY,TX,45733
TX09700,HAMILTON,TX,4163
TX09701,HAMILTON,TX,3033
TX12702,HAMLIN,TX,1887
TX09800,HANSFORD,TX,1969
TX21901,HAPPY,TX,538
TX09900,HARDEMAN,TX,2842
TX10000,HARDIN,TX,33911
TX01403,HARKER HEIGHTS,TX,35790
TX03103,HARLINGEN,TX,72282
TX10100,HARRIS,TX,2178104
TX10200,HARRISON,TX,37784
TX10300,HARTLEY,TX,2297
TX10400,HASKELL,TX,2310
TX10401,HASKELL,TX,3061
TX11616,HAWK COVE,TX,528
TX12705,HAWLEY,TX,588
TX10500,HAYS,TX,138997
TX19803,HEARNE,TX,4669
TX19903,HEATH,TX,11941
TX10141,HEDWIG VILLAGE,TX,2389
TX01530,HELOTES,TX,10521
TX10600,HEMPHILL,TX,3066
TX20201,HEMPHILL,TX,1041
TX23707,HEMPSTEAD,TX,6983
TX10700,HENDERSON,TX,49727
TX20101,HENDERSON,TX,13540
TX05901,HEREFORD,TX,14845
TX15504,HEWITT,TX,16923
TX06128,HICKORY CREEK,TX,7583
TX09705,HICO,TX,1514
TX10800,HIDALGO,TX,260330
TX10806,HIDALGO,TX,15468
TX05713,HIGHLAND PARK,TX,8736
TX06120,HIGHLAND VILLAGE,TX,16184
TX10900,HILL,TX,24652
TX01507,HILL COUNTRY VILLAGE,TX,951
TX02036,HILLCREST VILLAGE,TX,692
TX10901,HILLSBORO,TX,9058
TX08405,HITCHCOCK,TX,7867
TX11000,HOCKLEY,TX,6722
TX02031,HOLIDAY LAKES,TX,1085
TX01411,HOLLAND,TX,1142
TX00502,HOLLIDAY,TX,1761
TX01508,HOLLYWOOD PARK,TX,3119
TX16303,HONDO,TX,9113
TX07402,HONEY GROVE,TX,1823
TX11100,HOOD,TX,55809
TX01908,HOOKS,TX,2463
TX11200,HOPKINS,TX,21269
TX07114,HORIZON CITY,TX,25372
TX02711,HORSESHOE BAY,TX,4411
TX11300,HOUSTON,TX,14248
TXHPD00,HOUSTON,TX,2362928
TX11400,HOWARD,TX,8086
TX09110,HOWE,TX,3679
TX10902,HUBBARD,TX,1503
TX18404,HUDSON OAKS,TX,2829
TX11500,HUDSPETH,TX,3704
TX03402,HUGHES SPRINGS,TX,1514
TX10109,HUMBLE,TX,16521
TX11600,HUNT,TX,57031
TX00302,HUNTINGTON,TX,2127
TX23601,HUNTSVILLE,TX,50457
TX22016,HURST,TX,39299
TX05714,HUTCHINS,TX,8201
TX11700,HUTCHINSON,TX,6104
TX24604,HUTTO,TX,47401
TX15201,IDALOU,TX,2098
TX03133,INDIAN LAKE,TX,900
TX20501,INGLESIDE,TX,10293
TX13305,INGRAM,TX,1861
TX02030,IOWA COLONY,TX,13646
TX24304,IOWA PARK,TX,6592
TX11800,IRION,TX,1524
TX05715,IRVING,TX,258220
TX07004,ITALY,TX,2175
TX10903,ITASCA,TX,1972
TX10111,JACINTO CITY,TX,9396
TX11900,JACK,TX,4815
TX11901,JACKSBORO,TX,4787
TX12000,JACKSON,TX,7204
TX03701,JACKSONVILLE,TX,14795
TX08419,JAMAICA BEACH,TX,1077
TX24625,JARRELL,TX,6747
TX12100,JASPER,TX,23078
TX12101,JASPER,TX,7667
TX12200,JEFF DAVIS,TX,1723
TX12300,JEFFERSON,TX,35787
TX15801,JEFFERSON,TX,1995
TX10112,JERSEY VILLAGE,TX,7754
TX14510,JEWETT,TX,830
TX12400,JIM HOGG,TX,4501
TX12500,JIM WELLS,TX,16858
TX12600,JOHNSON,TX,85507
TX01602,JOHNSON CITY,TX,2181
TX12700,JONES,TX,7244
TX02027,JONES CREEK,TX,1980
TX22722,JONESTOWN,TX,2676
TX04327,JOSEPHINE,TX,4781
TX12605,JOSHUA,TX,9478
TX00704,JOURDANTON,TX,4655
TX13401,JUNCTION,TX,2504
TX06103,JUSTIN,TX,6718
TX12800,KARNES,TX,8177
TX12801,KARNES CITY,TX,3627
TX10127,KATY,TX,15507
TX12900,KAUFMAN,TX,117526
TX12902,KAUFMAN,TX,10497
TX12606,KEENE,TX,7062
TX22030,KELLER,TX,46881
TX08406,KEMAH,TX,3232
TX12903,KEMP,TX,1491
TX14108,KEMPNER,TX,1318
TX13000,KENDALL,TX,26673
TX12802,KENEDY,TX,3352
TX13100,KENEDY,TX,324
TX22017,KENNEDALE,TX,11434
TX13200,KENT,TX,687
TX17504,KERENS,TX,1505
TX24801,KERMIT,TX,5831
TX13300,KERR,TX,26773
TX13301,KERRVILLE,TX,25345
TX09204,KILGORE,TX,10244
TX01404,KILLEEN,TX,162382
TX13400,KIMBLE,TX,1906
TX13500,KING,TX,203
TX13701,KINGSVILLE,TX,24776
TX13600,KINNEY,TX,3195
TX01509,KIRBY,TX,8093
TX12102,KIRBYVILLE,TX,2021
TX13700,KLEBERG,TX,5405
TX13800,KNOX,TX,989
TX13802,KNOX CITY,TX,1024
TX10001,KOUNTZE,TX,2170
TX21902,KRESS,TX,590
TX06104,KRUM,TX,7140
TX10507,KYLE,TX,71858
TX03104,LA FERIA,TX,7079
TX07501,LA GRANGE,TX,4533
TX21401,LA GRULLA,TX,1237
TX10815,LA JOYA,TX,5300
TX08407,LA MARQUE,TX,20653
TX10113,LA PORTE,TX,38764
TX14200,LA SALLE,TX,6118
TX24707,LA VERNIA,TX,1604
TX10807,LA VILLA,TX,3272
TX16309,LACOSTE,TX,1259
TX15505,LACY-LAKEVIEW,TX,7275
TX22721,LAGO VISTA,TX,10531
TX03129,LAGUNA VISTA,TX,3857
TX20517,LAKE CITY,TX,500
TX06105,LAKE DALLAS,TX,7965
TX02008,LAKE JACKSON,TX,28161
TX22019,LAKE WORTH,TX,4804
TX09215,LAKEPORT,TX,996
TX22018,LAKESIDE,TX,1604
TX10166,LAKEVIEW,TX,6791
TX22711,LAKEWAY,TX,19009
TX13900,LAMAR,TX,22573
TX14000,LAMB,TX,4005
TX05801,LAMESA,TX,7972
TX14100,LAMPASAS,TX,12601
TX14101,LAMPASAS,TX,8102
TX05717,LANCASTER,TX,40640
TX24001,LAREDO,TX,262723
TX14300,LAVACA,TX,10966
TX04320,LAVON,TX,9932
TX08408,LEAGUE CITY,TX,116779
TX24617,LEANDER,TX,82879
TX14400,LEE,TX,11862
TX14500,LEON,TX,13240
TX01510,LEON VALLEY,TX,11393
TX07406,LEONARD,TX,2237
TX11001,LEVELLAND,TX,12460
TX06106,LEWISVILLE,TX,137042
TX14402,LEXINGTON,TX,1344
TX14600,LIBERTY,TX,89621
TX14604,LIBERTY,TX,9153
TX24624,LIBERTY HILL,TX,7236
TX14700,LIMESTONE,TX,10861
TX21202,LINDALE,TX,7537
TX03403,LINDEN,TX,1810
TX14800,LIPSCOMB,TX,1518
TX06113,LITTLE ELM,TX,65337
TX14003,LITTLEFIELD,TX,5694
TX01516,LIVE OAK,TX,16319
TX14900,LIVE OAK,TX,7938
TX02037,LIVERPOOL,TX,569
TX18702,LIVINGSTON,TX,5521
TX15000,LLANO,TX,14658
TX15001,LLANO,TX,3663
TX02801,LOCKHART,TX,17959
TX10722,LOG CABIN,TX,905
TX14106,LOMETA,TX,814
TX11612,LONE OAK,TX,849
TX17202,LONE STAR,TX,1409
TX09205,LONGVIEW,TX,81717
TX15506,LORENA,TX,1797
TX05402,LORENZO,TX,944
TX03105,LOS FRESNOS,TX,8667
TX03138,LOS INDIOS,TX,1050
TX07301,LOTT,TX,687
TX15100,LOVING,TX,44
TX15200,LUBBOCK,TX,32305
TX15202,LUBBOCK,TX,275713
TX00304,LUFKIN,TX,34467
TX02802,LULING,TX,5657
TX10009,LUMBERTON,TX,14417
TX24501,LYFORD,TX,2197
TX15300,LYNN,TX,2823
TX00701,LYTLE,TX,2449
TX12904,MABANK,TX,5960
TX15700,MADISON,TX,9162
TX15701,MADISONVILLE,TX,4699
TX17010,MAGNOLIA,TX,4043
TX10702,MALAKOFF,TX,2274
TX22702,MANOR,TX,23981
TX22020,MANSFIELD,TX,76661
TX02009,MANVEL,TX,22652
TX02702,MARBLE FALLS,TX,10145
TX18901,MARFA,TX,1607
TX09401,MARION,TX,1110
TX15800,MARION,TX,7628
TX07302,MARLIN,TX,5604
TX10202,MARSHALL,TX,24499
TX15508,MART,TX,1848
TX15900,MARTIN,TX,2467
TX02809,MARTINDALE,TX,1270
TX16000,MASON,TX,3975
TX16100,MATAGORDA,TX,14567
TX20502,MATHIS,TX,4283
TX16200,MAVERICK,TX,29900
TX07022,MAYPEARL,TX,984
TX10808,MCALLEN,TX,150422
TX15400,MCCULLOCH,TX,2458
TX15507,MCGREGOR,TX,6364
TX04305,MCKINNEY,TX,235731
TX15500,MCLENNAN,TX,47039
TX15600,MCMULLEN,TX,555
TX07913,MEADOWS PLACE,TX,4598
TX16300,MEDINA,TX,35891
TX04317,MELISSA,TX,30479
TX10124,MEMORIAL VILLAGES,TX,11570
TX09601,MEMPHIS,TX,2044
TX16400,MENARD,TX,1891
TX10809,MERCEDES,TX,17869
TX01808,MERIDIAN,TX,1431
TX22103,MERKEL,TX,2492
TX05718,MESQUITE,TX,149974
TX14703,MEXIA,TX,6930
TX16500,MIDLAND,TX,35459
TX16501,MIDLAND,TX,146395
TX07005,MIDLOTHIAN,TX,46551
TX16600,MILAM,TX,13288
TX20007,MILES,TX,949
TX07006,MILFORD,TX,822
TX16700,MILLS,TX,4573
TX25003,MINEOLA,TX,5515
TX18202,MINERAL WELLS,TX,15725
TX10810,MISSION,TX,89265
TX07901,MISSOURI CITY,TX,73502
TX16800,MITCHELL,TX,5026
TX23801,MONAHANS,TX,7212
TX03607,MONT BELVIEU,TX,10921
TX16900,MONTAGUE,TX,11814
TX17000,MONTGOMERY,TX,622789
TX17017,MONTGOMERY,TX,3127
TX15509,MOODY,TX,1636
TX17100,MOORE,TX,2077
TX10114,MORGAN'S POINT,TX,274
TX01410,MORGAN'S POINT RESORT,TX,4798
TX17200,MORRIS,TX,5876
TX17300,MOTLEY,TX,999
TX14310,MOULTON,TX,858
TX20110,MOUNT ENTERPRISE,TX,514
TX22501,MOUNT PLEASANT,TX,16267
TX08002,MOUNT VERNON,TX,2628
TX00901,MULESHOE,TX,5247
TX13803,MUNDAY,TX,1205
TX04318,MURPHY,TX,21116
TX22723,MUSTANG RIDGE,TX,529
TX17400,NACOGDOCHES,TX,32441
TX17402,NACOGDOCHES,TX,32448
TX17205,NAPLES,TX,1414
TX01903,NASH,TX,4314
TX10128,NASSAU BAY,TX,5206
TX16310,NATALIA,TX,1397
TX17500,NAVARRO,TX,26780
TX09301,NAVASOTA,TX,9965
TX12305,NEDERLAND,TX,18011
TX07907,NEEDVILLE,TX,3153
TX01904,NEW BOSTON,TX,4527
TX04601,NEW BRAUNFELS,TX,96032
TX15215,NEW DEAL,TX,752
TX20102,NEW LONDON,TX,994
TX17600,NEWTON,TX,10245
TX17601,NEWTON,TX,1552
TX08902,NIXON,TX,2397
TX16902,NOCONA,TX,3286
TX17700,NOLAN,TX,2698
TX01405,NOLANVILLE,TX,7799
TX14509,NORMANGEE,TX,494
TX22021,NORTH RICHLAND HILLS,TX,71725
TX06135,NORTHEAST,TX,4097
TX06139,NORTHLAKE,TX,12732
TX17800,NUECES,TX,17154
TX15305,O'DONNELL,TX,654
TX04908,OAK RIDGE,TX,311
TX17016,OAK RIDGE NORTH,TX,2989
TX14511,OAKWOOD,TX,378
TX17900,OCHILTREE,TX,1431
TX20507,ODEM,TX,2300
TX06802,ODESSA,TX,116665
TX18000,OLDHAM,TX,911
TX01511,OLMOS PARK,TX,2152
TX25202,OLNEY,TX,3036
TX14004,OLTON,TX,1922
TX17203,OMAHA,TX,941
TX18708,ONALASKA,TX,3443
TX18100,ORANGE,TX,41239
TX18102,ORANGE,TX,19278
TX12508,ORANGE GROVE,TX,1185
TX23003,ORE CITY,TX,1221
TX20103,OVERTON,TX,2146
TX05755,OVILLA,TX,4575
TX02029,OYSTER CREEK,TX,1249
TX12921,"Oak Ridge, Kaufman Count",TX,1722
TX05101,PADUCAH,TX,948
TX16102,PALACIOS,TX,4366
TX00101,PALESTINE,TX,19844
TX03125,PALM VALLEY,TX,1340
TX07007,PALMER,TX,2676
TX10835,PALMHURST,TX,2602
TX10822,PALMVIEW,TX,16078
TX18200,PALO PINTO,TX,14841
TX09002,PAMPA,TX,16399
TX03301,PANHANDLE,TX,2302
TX18300,PANOLA,TX,16190
TX22031,PANTEGO,TX,2479
TX13902,PARIS,TX,25172
TX04319,PARKER,TX,6552
TX18400,PARKER,TX,121108
TX18500,PARMER,TX,2512
TX10115,PASADENA,TX,149168
TX17008,PATTON VILLAGE,TX,2070
TX10725,PAYNE SPRINGS,TX,775
TX02010,PEARLAND,TX,116191
TX08201,PEARSALL,TX,9741
TX18600,PECOS,TX,6467
TX19502,PECOS,TX,9650
TX22048,PELICAN BAY,TX,2849
TX10830,PENITAS,TX,6598
TX17901,PERRYTON,TX,8169
TX09503,PETERSBURG,TX,962
TX22709,PFLUGERVILLE,TX,66958
TX10811,PHARR,TX,81470
TX06107,PILOT POINT,TX,7547
TX18103,PINEHURST,TX,2226
TX20202,PINELAND,TX,898
TX03201,PITTSBURG,TX,4613
TX09504,PLAINVIEW,TX,19259
TX04306,PLANO,TX,289301
TX00702,PLEASANTON,TX,11598
TX14621,PLUM GROVE,TX,1749
TX19008,POINT,TX,838
TX02901,POINT COMFORT,TX,552
TX18700,POLK,TX,44665
TX06132,PONDER,TX,2992
TX17805,PORT ARANSAS,TX,3813
TX12307,PORT ARTHUR,TX,55661
TX03106,PORT ISABEL,TX,5259
TX02902,PORT LAVACA,TX,11244
TX24510,PORT MANSFIELD,TX,260
TX12308,PORT NECHES,TX,13716
TX20503,PORTLAND,TX,20806
TX00703,POTEET,TX,3057
TX24702,POTH,TX,2037
TX18800,POTTER,TX,15311
TX09103,POTTSBORO,TX,2857
TX23708,PRAIRIE VIEW,TX,8785
TX12502,PREMONT,TX,2389
TX18900,PRESIDIO,TX,957
TX18906,PRESIDIO,TX,2999
TX03107,PRIMERA,TX,5493
TX04309,PRINCETON,TX,26983
TX10824,PROGRESO,TX,5274
TX04307,PROSPER,TX,38771
TX03404,QUEEN CITY,TX,1388
TX11614,QUINLAN,TX,1604
TX25004,QUITMAN,TX,2067
TX19000,RAINS,TX,10300
TX03132,RANCHO VIEJO,TX,2871
TX19100,RANDALL,TX,28822
TX06704,RANGER,TX,2353
TX15211,RANSOM CANYON,TX,1178
TX24502,RAYMONDVILLE,TX,10080
TX19200,REAGAN,TX,3059
TX19300,REAL,TX,2766
TX07008,RED OAK,TX,20863
TX19400,RED RIVER,TX,7688
TX19500,REEVES,TX,1665
TX19600,REFUGIO,TX,2621
TX19601,REFUGIO,TX,2807
TX13910,"RENO, LAMAR COUNTY",TX,3571
TX18407,"RENO, PARKER COUNTY",TX,3564
TX24903,RHOME,TX,2005
TX17503,RICE,TX,1267
TX05720,RICHARDSON,TX,75187
TX17517,RICHLAND,TX,274
TX22022,RICHLAND HILLS,TX,8534
TX07902,RICHMOND,TX,13765
TX02011,RICHWOOD,TX,4847
TX15517,RIESEL,TX,1067
TX24010,RIO BRAVO,TX,4405
TX21402,RIO GRANDE CITY,TX,15573
TX03108,RIO HONDO,TX,2389
TX22023,RIVER OAKS,TX,7453
TX06129,ROANOKE,TX,11203
TX19700,ROBERTS,TX,837
TX19800,ROBERTSON,TX,9416
TX15511,ROBINSON,TX,13120
TX17803,ROBSTOWN,TX,10445
TX16602,ROCKDALE,TX,5716
TX00402,ROCKPORT,TX,11309
TX19900,ROCKWALL,TX,15882
TX19901,ROCKWALL,TX,55108
TX01406,ROGERS,TX,1097
TX22703,ROLLINGWOOD,TX,1430
TX21403,ROMA,TX,11660
TX17007,ROMAN FOREST,TX,2541
TX17702,ROSCOE,TX,1196
TX18108,ROSE CITY,TX,345
TX07303,ROSEBUD,TX,1352
TX07903,ROSENBERG,TX,43657
TX24605,ROUND ROCK,TX,137413
TX05733,ROWLETT,TX,60831
TX19902,ROYSE CITY,TX,20808
TX24908,RUNAWAY BAY,TX,2294
TX20000,RUNNELS,TX,2951
TX03703,RUSK,TX,5592
TX20100,RUSK,TX,31645
TX23202,SABINAL,TX,1388
TX20200,SABINE,TX,8119
TX05721,SACHSE,TX,21750
TX22024,SAGINAW,TX,26673
TX01571,SAINT HEDWIG,TX,2415
TX01418,SALADO,TX,2505
TX22601,SAN ANGELO,TX,100184
TXSPD00,SAN ANTONIO,TX,1549295
TX20300,SAN AUGUSTINE,TX,5863
TX20301,SAN AUGUSTINE,TX,1833
TX03109,SAN BENITO,TX,24680
TX06602,SAN DIEGO,TX,2828
TX07128,SAN ELIZARIO,TX,10131
TX00808,SAN FELIPE,TX,724
TX20400,SAN JACINTO,TX,27715
TX10813,SAN JUAN,TX,37852
TX10501,SAN MARCOS,TX,75924
TX20500,SAN PATRICIO,TX,15320
TX20600,SAN SABA,TX,2623
TX20601,SAN SABA,TX,2811
TX01562,SANDY OAKS,TX,5858
TX06108,SANGER,TX,10471
TX22025,SANSOM PARK VILLAGE,TX,5391
TX04202,SANTA ANNA,TX,1062
TX09414,SANTA CLARA,TX,751
TX08421,SANTA FE,TX,13227
TX03110,SANTA ROSA,TX,2344
TX07404,SAVOY,TX,859
TX09402,SCHERTZ,TX,36858
TX20700,SCHLEICHER,TX,2259
TX07503,SCHULENBURG,TX,2881
TX20800,SCURRY,TX,4882
TX10117,SEABROOK,TX,14075
TX02903,SEADRIFT,TX,1071
TX05722,SEAGOVILLE,TX,20491
TX08301,SEAGRAVES,TX,2285
TX00802,SEALY,TX,7748
TX09403,SEGUIN,TX,41546
TX01522,SELMA,TX,7891
TX08302,SEMINOLE,TX,7470
TX10705,SEVEN POINTS,TX,1496
TX01201,SEYMOUR,TX,2633
TX20900,SHACKELFORD,TX,1270
TX15203,SHALLOWATER,TX,2973
TX01512,SHAVANO PARK,TX,3878
TX21000,SHELBY,TX,17910
TX17012,SHENANDOAH,TX,3922
TX20406,SHEPHERD,TX,1952
TX09104,SHERMAN,TX,51942
TX21100,SHERMAN,TX,785
TX14302,SHINER,TX,2175
TX10118,SHOREACRES,TX,1536
TX10002,SILSBEE,TX,6656
TX20504,SINTON,TX,5679
TX15204,SLATON,TX,5654
TX08910,SMILEY,TX,492
TX21200,SMITH,TX,112051
TX01103,SMITHVILLE,TX,4403
TX20801,SNYDER,TX,11090
TX07116,SOCORRO,TX,39719
TX01523,SOMERSET,TX,1865
TX21300,SOMERVELL,TX,10292
TX02602,SOMERVILLE,TX,1523
